"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",50.1,8.867,7.194,1.233,240.279211302406
"PM",1,"t200",54.253,10.024,6.891,1.455,249.232216677661
"PM",1,"t200",49.292,9.31,6.741,1.381,221.511846616942
"PM",1,"t200",18.753,5.316,4.491,1.184,56.1396505155421
"PM",1,"t200",40.06,8.562,5.957,1.437,159.084931762885
"PM",1,"t200",31.641,7.502,5.37,1.397,113.272439421443
"PM",1,"t200",47.224,9.104,6.604,1.379,207.895457695976
"PM",1,"t200",52.543,9.721,6.882,1.412,241.067632092627
"PM",1,"t200",8.061,3.296,3.114,1.058,16.734896926589
"PM",1,"t200",54.574,10.306,6.742,1.528,245.282326498606
"PM",1,"t200",33.859,7.158,6.023,1.188,135.961529865936
"PM",1,"t200",12.749,4.992,3.252,1.535,27.6423061611087
"PM",1,"t200",22.922,6.373,4.579,1.392,69.9654815914441
"PM",1,"t200",39.178,8.578,5.815,1.475,151.874234637355
"PM",1,"t200",35.752,7.855,5.795,1.355,138.118448836936
"PM",1,"t200",41.381,8.72,6.042,1.443,166.677335460974
"PM",1,"t200",20.233,5.906,4.362,1.354,58.8387431774142
"PM",1,"t200",46.871,9.567,6.238,1.534,194.923920214576
"PM",1,"t200",5.709,2.887,2.517,1.147,9.57661078971298
"PM",1,"t200",25.296,7.436,4.332,1.717,73.0659271153494
"PM",1,"t200",16.93,5.662,3.807,1.487,42.9669217534233
"PM",1,"t200",20.789,5.541,4.777,1.16,66.2059855700868
"PM",1,"t200",27.183,7.211,4.799,1.503,86.955211896409
"PM",1,"t200",27.958,6.209,5.733,1.083,106.852371571838
"PM",1,"t200",8.922,3.418,3.323,1.029,19.762021309117
"PM",1,"t200",24.547,6.96,4.491,1.55,73.5011225711387
"PM",1,"t200",18.501,5.242,4.494,1.166,55.4321565803083
"PM",1,"t200",38.499,8.664,5.658,1.531,145.225524001818
"PM",1,"t200",44.69,9.832,5.788,1.699,172.463635650228
"PM",1,"t200",17.544,5.729,3.899,1.469,45.6020025920656
"PM",1,"t200",18.886,6.038,3.983,1.516,50.1547816240786
"PM",1,"t200",52.008,9.768,6.779,1.441,235.036624356689
"PM",1,"t200",41.696,8.686,6.112,1.421,169.896776311375
"PM",1,"t200",46.219,8.895,6.615,1.345,203.800043222797
"PM",1,"t200",27.204,6.988,4.957,1.41,89.906140873497
"PM",1,"t200",49.431,9.335,6.742,1.385,222.172571110468
"PM",1,"t200",55.99,10.104,7.056,1.432,263.395956780275
"PM",1,"t200",6.618,3.056,2.757,1.108,12.1625742461691
"PM",1,"t200",33.229,7.272,5.818,1.25,128.884273058086
