"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",2,"t1000","S","rep1",19098.998,77.9705064726685,1985544.72957398
"PA",2,"t1000","S","rep1",13948.577,66.6330995624235,1239249.22666017
"PA",2,"t1000","S","rep1",26568.52,91.962071405943,3257728.17785363
"PA",2,"t1000","D","rep2",11961.897,61.7056729370341,984155.871984653
"PA",2,"t1000","D","rep2",28883.439,95.8847442541641,3692641.54892767
"PA",2,"t1000","D","rep2",47612.385,123.107647407823,7815264.93976735
"PA",2,"t1000","D","rep2",5066.793,40.1598095506792,271308.589216953
"PA",2,"t1000","D","rep2",5401.827,41.466310874667,298658.450230893
"PA",2,"t1000","D","rep2",9698.722,55.5625691985911,718514.549683864
"PA",2,"t1000","D","rep2",64438.8,143.218389509937,12305094.8772706
"PA",2,"t1000","D","rep2",207892.709,257.243667638739,71305443.9180174
"PA",2,"t1000","D","rep2",22901.445,85.3800699893971,2607102.63594444
"PA",2,"t1000","D","rep2",194603.745,248.886110343445,64578892.2017568
"PA",2,"t1000","D","rep2",133926.1,206.470340843519,36869023.3531243
"PA",2,"t1000","D","rep2",155985.519,222.826687807384,46343648.7262478
"PA",2,"t1000","D","rep2",151903.442,219.89171729273,44536411.6320755
"PA",2,"t1000","D","rep2",218144.942,263.510325527463,76644592.9047861
"PA",2,"t1000","D","rep2",21596.33,82.9115513320526,2387446.96450526
"PA",2,"t1000","D","rep2",117538.207,193.425885786822,30313242.4036932
"PA",2,"t1000","D","rep2",194641.9,248.910508085932,64597885.6317482
"PA",2,"t1000","D","rep2",3664.984,34.1555360067063,166905.99063467
"PA",2,"t1000","D","rep2",109280.495,186.507538522062,27175514.84123
"PA",2,"t1000","D","rep2",134045.27,206.562181042841,36918244.4395687
"PA",2,"t1000","D","rep2",61069.127,139.423480320617,11352626.9686423
"PA",2,"t1000","D","rep2",172933.195,234.61957637386,54098017.2691707
"PA",2,"t1000","D","rep2",181125.573,240.112599683157,57987376.2695085
"PA",2,"t1000","D","rep2",46666.869,121.879144072905,7583624.06704316
"PA",2,"t1000","D","rep2",11117.78,59.4886483828337,881842.273623601
"PA",2,"t1000","D","rep2",116254.522,192.366742619848,29818004.94929
"PA",2,"t1000","D","rep2",461324.881,383.202649214304,235707888.730231
"PA",2,"t1000","D","rep2",67473.963,146.552480302789,13184635.5113448
"PA",2,"t1000","D","rep2",745.332,15.402809616727,15306.9425296725
"PA",2,"t1000","D","rep2",94317.409,173.269050103993,21789717.1542664
"PA",2,"t1000","D","rep2",25060.085,89.313340571866,2984266.54181988
"PA",2,"t1000","D","rep2",179.8,7.56519117642413,1813.62849802808
"PA",2,"t1000","D","rep2",190742.236,246.404422508204,62666307.3460049
"PA",2,"t1000","D","rep2",80658.392,160.232217663264,17232097.3644172
"PA",2,"t1000","D","rep2",220356.372,264.842616833456,77813010.9285421
"PA",2,"t1000","D","rep2",46766.7,122.009437971788,7607971.7103936
"PA",2,"t1000","D","rep2",149490.26,218.138093065345,43479360.3309902
"PA",2,"t1000","D","rep2",25373.689,89.8704403997939,3040459.47332987
"PA",2,"t1000","D","rep2",11887.677,61.5139424265724,975010.504751585
"PA",2,"t1000","D","rep2",42032.327,115.668946668541,6482446.65349025
"PA",2,"t1000","D","rep2",16747.492,73.0129596193987,1630378.60949627
"PA",2,"t1000","D","rep2",198624.669,251.44422002242,66590699.9652217
"PA",2,"t1000","D","rep2",40384.338,113.378719486453,6104966.03966413
"PA",2,"t1000","D","rep2",85417.854,164.891926378473,18779619.3242335
"PA",2,"t1000","D","rep2",17626.105,74.90369467799,1760347.18304292
"PA",2,"t1000","D","rep2",112057.98,188.862814920739,28218114.0495092
"PA",2,"t1000","D","rep2",140471.536,211.455618596958,39604660.7201932
"PA",2,"t1000","D","rep2",575.463,13.5342366623679,10384.6032432483
"PA",2,"t1000","D","rep2",351857.791,334.66373183554,157005388.548626
"PA",2,"t1000","D","rep2",110168.516,187.263791986057,27507432.0848488
"PA",2,"t1000","D","rep2",23685.455,86.8292259856167,2742119.63302287
"PA",2,"t1000","D","rep2",20419.793,80.6214734777687,2195031.73302804
"PA",2,"t1000","D","rep2",116194.415,192.317006564272,29794882.7630489
"PA",2,"t1000","D","rep2",6844.404,46.6759194685641,425958.466552424
"PA",2,"t1000","D","rep2",16477.793,72.4226788678109,1591154.54785235
